,0
0,2P
1,2P%
2,2PA
3,3P
4,3P%
5,3PA
6,Age
7,AST
8,AST%
9,Award Share
10,BLK
11,BLK%
12,BPM
13,DPOY
14,DRB
15,DRB%
16,DRtg
17,DWS
18,eFG%
19,FG
20,FG%
21,FGA
22,FT
23,FT%
24,FTA
25,Four Factors
26,G
27,GB
28,GmSc
29,GS
30,L
31,L Pyth
32,Lg
33,MVP
34,MP
35,MOV
36,ORtg
37,Opp
38,ORB
39,ORB%
40,OWS
41,Pace
42,PER
43,Per 36 Minutes
44,Per Game
45,PF
46,Poss
47,PProd
48,PTS
49,ROY
50,SMOY
51,SOS
52,SRS
53,STL
54,STL%
55,Stops
56,Tm
57,TOV
58,TOV%
59,TRB
60,TRB%
61,TS%
62,TSA
63,Usg%
64,VORP
65,W
66,W Pyth
67,W-L%
68,WS
69,WS/48
70,Win Probability
71,Year
